epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,663.399,0.48079,0.5733,1.11477,0.81467,0.69767,0.76699,0.667,0.59968,1.04457,1.13421,0.000447796,0.000447796,0.000447796
43,677.071,0.46633,0.5607,1.09319,0.75701,0.6934,0.74132,0.647,0.59233,1.10472,1.12971,0.000436547,0.000436547,0.000436547
44,691.816,0.48371,0.56451,1.1025,0.82305,0.69583,0.77086,0.67195,0.5911,1.06945,1.11605,0.000425298,0.000425298,0.000425298
45,705.518,0.4613,0.54443,1.09745,0.83155,0.63941,0.75348,0.65097,0.59391,1.11485,1.13031,0.000414049,0.000414049,0.000414049
46,720.314,0.46691,0.53755,1.0966,0.85711,0.65569,0.76544,0.66905,0.58089,1.02741,1.09969,0.000402801,0.000402801,0.000402801
47,734.011,0.47027,0.53659,1.09494,0.83913,0.64742,0.76123,0.6648,0.59361,1.12024,1.11613,0.000391552,0.000391552,0.000391552
48,748.709,0.46018,0.53617,1.09236,0.80346,0.65182,0.72435,0.63682,0.559,1.12585,1.08438,0.000380303,0.000380303,0.000380303
49,762.427,0.45721,0.53104,1.08904,0.81741,0.67489,0.77231,0.6783,0.58234,1.05605,1.12563,0.000369054,0.000369054,0.000369054
50,777.233,0.43832,0.50929,1.07597,0.80119,0.71387,0.77665,0.68495,0.5778,0.98824,1.1276,0.000357805,0.000357805,0.000357805
51,791.196,0.44097,0.51323,1.07845,0.82478,0.64319,0.75037,0.65177,0.59351,1.10111,1.12709,0.000346556,0.000346556,0.000346556
52,806.036,0.45326,0.5194,1.09531,0.8458,0.62404,0.74275,0.64682,0.60021,1.16617,1.12185,0.000335307,0.000335307,0.000335307
53,820.731,0.44076,0.49189,1.07237,0.8155,0.69582,0.78255,0.68853,0.56543,1.07623,1.10021,0.000324058,0.000324058,0.000324058
54,834.44,0.44625,0.49833,1.0814,0.81498,0.72261,0.79543,0.70928,0.55681,0.92457,1.11044,0.00031281,0.00031281,0.00031281
55,849.184,0.43688,0.48275,1.07796,0.83982,0.66457,0.76436,0.67444,0.59797,1.17581,1.15387,0.000301561,0.000301561,0.000301561
56,862.975,0.43522,0.48708,1.0666,0.82498,0.68877,0.7695,0.67478,0.58647,1.04851,1.1292,0.000290312,0.000290312,0.000290312
57,877.562,0.41711,0.46479,1.06526,0.83387,0.66898,0.77763,0.68961,0.55022,1.01279,1.09801,0.000279063,0.000279063,0.000279063
58,891.913,0.42626,0.46826,1.06386,0.77162,0.68609,0.74426,0.65555,0.58747,1.14701,1.14705,0.000267814,0.000267814,0.000267814
59,906.67,0.41348,0.45842,1.05414,0.84702,0.65909,0.7579,0.66806,0.56634,1.06168,1.12762,0.000256565,0.000256565,0.000256565
60,920.33,0.41972,0.45821,1.05764,0.86312,0.66965,0.7815,0.68961,0.57534,1.02237,1.13731,0.000245316,0.000245316,0.000245316
61,935.003,0.41334,0.4529,1.05365,0.84354,0.67723,0.76946,0.68252,0.57847,1.10103,1.16428,0.000234068,0.000234068,0.000234068
62,948.669,0.41049,0.44333,1.05941,0.83887,0.67181,0.77621,0.69061,0.59047,1.08444,1.14421,0.000222819,0.000222819,0.000222819
63,963.441,0.4017,0.44775,1.04973,0.78762,0.69511,0.76023,0.66595,0.55994,1.08596,1.11009,0.00021157,0.00021157,0.00021157
64,977.115,0.40821,0.44412,1.05588,0.80462,0.71632,0.78855,0.70243,0.56288,1.02559,1.11558,0.000200321,0.000200321,0.000200321
65,991.788,0.40121,0.43079,1.04524,0.81842,0.67988,0.7816,0.69511,0.53525,1.05571,1.07915,0.000189072,0.000189072,0.000189072
66,1006.48,0.39113,0.41989,1.04076,0.83143,0.70048,0.77712,0.68462,0.56435,1.03859,1.12074,0.000177823,0.000177823,0.000177823
67,1020.21,0.38258,0.41678,1.03893,0.85322,0.66965,0.76632,0.67431,0.55058,1.09994,1.09091,0.000166574,0.000166574,0.000166574
68,1034.93,0.41028,0.4344,1.04515,0.84999,0.67837,0.78445,0.692,0.55142,1.0141,1.09718,0.000155325,0.000155325,0.000155325
69,1048.66,0.38697,0.41008,1.03689,0.80241,0.70054,0.79082,0.70708,0.53478,1.05821,1.07794,0.000144077,0.000144077,0.000144077
70,1063.3,0.38021,0.40632,1.03693,0.81931,0.7032,0.78199,0.69451,0.55499,1.02766,1.1117,0.000132828,0.000132828,0.000132828
71,1077.94,0.35033,0.3863,1.03515,0.81883,0.70377,0.78621,0.7011,0.57615,1.0072,1.14487,0.000121579,0.000121579,0.000121579
72,1092.72,0.32964,0.34202,1.02382,0.79467,0.70281,0.78282,0.69161,0.5716,1.06202,1.14699,0.00011033,0.00011033,0.00011033
73,1106.31,0.32515,0.33702,1.00817,0.81644,0.71566,0.7932,0.70076,0.56192,0.99625,1.12699,9.9081e-05,9.9081e-05,9.9081e-05
74,1120.97,0.31986,0.32599,1.00423,0.81434,0.70197,0.79137,0.70571,0.54479,0.98169,1.10821,8.78321e-05,8.78321e-05,8.78321e-05
75,1134.57,0.31512,0.32574,1.00791,0.82668,0.69697,0.7876,0.70014,0.55338,0.94734,1.12287,7.65832e-05,7.65832e-05,7.65832e-05
76,1149.17,0.30896,0.31086,1.00034,0.80799,0.72319,0.78249,0.69905,0.54489,0.98538,1.12057,6.53344e-05,6.53344e-05,6.53344e-05
77,1163.74,0.30835,0.29933,1.00457,0.78064,0.73384,0.77727,0.69034,0.54052,1.00091,1.11532,5.40855e-05,5.40855e-05,5.40855e-05
78,1177.28,0.30972,0.29848,1.00283,0.77829,0.74148,0.78469,0.70126,0.53913,0.96701,1.11299,4.28366e-05,4.28366e-05,4.28366e-05
79,1191.91,0.30223,0.29652,0.99202,0.83075,0.68488,0.7834,0.70049,0.5325,0.98978,1.10111,3.15878e-05,3.15878e-05,3.15878e-05
80,1205.43,0.29874,0.2888,0.99325,0.83556,0.6803,0.78278,0.69916,0.53738,1.00732,1.11042,2.03389e-05,2.03389e-05,2.03389e-05
